CNPJ_FUNDO,DENOM_SOCIAL,TP_FUNDO,sub_cluster
03958114000137,SANTANDER PARAOPEBA RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA,FIF,0
03958330000182,BRADESCO PGBL CAEMI - F15 FI FINANCEIRO - CIC RF - RESP LIMITADA,FIF,1
03958682000138,BRADESCO PRIVATE ATIVO FI FINANCEIRO - CI RF - RESP LIMITADA,FIF,1
03959960000171,IPF CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,FACFIF,1
03960320000181,UNIMED RF 100 C EM FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
03960323000115,UNIMED RF 100 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
03960349000163,UNIMED RV 15 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,FIF,1
03962060000183,,,1
03973388000103,PRIVATE MAHIKARI FIF CIC MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,1
03986889000116,,,1
03986896000118,,,1
03998582000135,051 BLUE MARLIN CIC DE CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,FACFIF,1
03998735000144,MAX FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FACFIF,1
04003722000150,MB PREV XII COMPOSTO MULT FUNDO DE INVESTIMENTO FINANCEIRO CRED PRIV - RESPONSABILIDADE LIMITADA,FIF,1
04003809000128,MB PREV X RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,FIF,1
04018864000191,SELEÇÃO SAFRA AÇÕES QUALIFICADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES,FI,1
04042603000107,CBC NOSTRUM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FACFIF,1
04044634000105,BRADESCO H FIF - CIC RENDA FIXA REFERENCIADA DI LONGO PRAZO PJ - RESPONSABILIDADE LIMITADA,FACFIF,0
04052631000105,MULTIPREV CARTEIRA 4 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,FIF,1
04052699000194,CSHG WARM FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO - MULT CP RESP LTDA,FACFIF,1
04056135000120,SULAMERICA FIX 100 IV FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
04056137000119,STARLIGHT FIC DE FIF MULTIMERCADO INVEST NO EXT CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,FACFIF,1
04061044000182,BB CAMBIAL DOLAR LONGO PRAZO VIP FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,1
04061359000120,BB RENDA FIXA LONGO PRAZO 90 MIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESPONSABILIDADE LIMITADA,FACFIF,1
04061548000100,BB RENDA FIXA REFERENCIADO DI LONGO PRAZO 90 MIL FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,FACFIF,0
04061652000197,SULAMERICA MIX 30 IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA,FIF,1
04061762000159,BB RENDA FIXA CURTO PRAZO ABSOLUTO FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,0
04066545000151,SULAMÉRICA FUNDO DE FUNDOS FIF DA CLASSE DE INVESTIMENTO EM COTAS MULT CP RESPONSABILIDADE LIMITADA,FACFIF,1
04068453000100,,,1
04073702000156,SANTANDER IBrX AÇÕES - FIF RESP LIMITADA,FITVM,1
04087244000104,FIF CIC PREVIDENCIÁRIO MULTIMERCADO VIVEST CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,FACFIF,1
04087328000148,IU WESTERN ASSET CORPORATE III FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
04088125000176,BRADESCO PRIVATE FIF - CLASSE DE INVESTIMENTO EM AÇÕES IBOVESPA ATIVO - RESP LIMITADA,FITVM,1
04088145000147,BRADESCO PRIVATE FI FINANCEIRO - CIC EM AÇÕES IBOVESPA - RESP LIMITADA,FIC-FITVM,1
04088561000145,BRADESCO PRIME H FC DE FI FINANCEIRO RF REF DI LP PLUS - RESP LIMITADA,FACFIF,0
04089399000180,ICATU SEG ÚNICO C FUNDO DE INVESTIMENTO EM COTAS DE FIF MULT - RESP LIMITADA,FIF,1
04089406000143,ITAUPREV PREMIUM F100 FIF CIC RF - RESP LIMITADA,FIF,1
04089491000140,ITAUPREV PREMIUM V20 FIF CIC MULT - RESP LIMITADA,FIF,1
04089495000128,ITAUPREV PREMIUM V40 MULTIMERCADO FIF CIC RESPONSABILIDADE LIMITADA,FIF,1
04093184000132,BB PAU BRASIL FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,3
04103082000150,BRADESCO PGBL HIPERPREV - V15 FI FINANCEIRO - CIC MULT - RESP LIMITADA,FIF,1
04103102000193,BRADESCO PGBL HIPERPREV FIF - CIC RENDA FIXA - RESP LIMITADA,FIF,1
04103968000102,SAFRA CARTEIRA CAMBIAL FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO CAMBIAL RESP LIMITADA,FIF,1
04104064000193,FIF - CLASSE DE INVESTIMENTO RF  ACRE - RESP  LIMITADA,FIF,0
04108584000174,,,1
04113821000195,FUNDO DE INVESTIMENTO RENDA FIXA CREDITO PRIVADO COLÔNIA,FIF,1
04113848000188,BRAM FIF - CLASSE DE INVESTIMENTO MULTIMERCADO GOLDEN PROFIT - RESPONSABILIDADE LIMITADA,FIF,1
04118024000109,BNP PARIBAS PLANEJAR MODERADO CIC DE CLASSES DE INVESTIMENTO MULTIMERCADO RESP LIMITADA,FACFIF,1
04118043000127,MULTIMANAGER PLUS MULTIMERCADO FIF CIC RESPONSABILIDADE LIMITADA,FACFIF,1
04118325000124,OMEGA FIF MULTIMERCADO CRÉD PRIV - RESP LIMITADA,FACFIF,1
04118327000113,FLAMBOYANT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO INVESTIMENTO NO EXTERIOR RESP LIMITADA,FACFIF,1
04118652000186,ITAÚ FLEXPREV PREMIUM FIF CIC RF - RESP LIMITADA,FIF,3
04118883000190,ITAÚ FLEXPREV XII A FIF CIC RF - RESP LIMITADA,FIF,3
04128522000124,BB ESPELHO MULTIMERCADO TRUXT I MACRO PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,FACFIF,1
04128557000163,BB MULTIMERCADO MULTIGESTOR PLUS PRIVATE FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,1
04128595000116,BB MULTIMERCADO MULTIGESTOR ARBITRAGEM PRIVATE FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,1
04128704000103,BB RENDA FIXA LONGO PRAZO PRÉ IRF-M PRIVATE FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,1
04128723000121,BB MULTIMERCADO MULTIGESTOR MACRO PRIVATE FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,1
04129095000107,BB MULTIMERCADO MULTIGESTOR PRIVATE FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,1
04137746000100,PARDO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA,FIF,1
04147027000162,CSHG ALLOCATION VERDE 14 FUNDO DE INVESTIMENTO EM COTAS FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,FIF,1
04147465000120,BRADESCO H FIF  - CIC RENDA FIXA REFERENCIADA DI LONGO PRAZO PJ PLUS  - RESPONSABILIDADE LIMITADA,FACFIF,0
04150673000189,CAIXA PRODES FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,FIF,1
04150705000146,PREVHAB FI FINANCEIRO - CI MULT - RESP LIMITADA,FIF,0
04163008000120,FATOR PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FIF,1
04163555000105,,,1
04165971000142,FACHESF PJ FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,FIF,0
04172301000153,BRADESCO PGBL FINASA FI FINANCEIRO - CIC RF - RESP LIMITADA,FIF,1
04178681000133,GOV SP FUNDO DE INVESTIMENTO EM COTAS DO FIF PRINCIPAL RENDA FIXA REFERENCIADO DI RESP LIMITADA,FACFIF,1
04192419000143,CLASSE ÚNICA DO WESTERN ASSET RF ATIVO MAX FIF -  RESPONSABILIDAE LIMITADA,FIF,1
04194710000150,CARTEIRA ATIVA II FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES - RESPONSABILIDADE LIMITADA,FITVM,3
04194774000151,IU WESTERN ASSET CORPORATE RV 25 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESP LIMITADA,FIF,1
04195359000112,,,1
04201010000146,PB KYMA FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,FACFIF,1
04207925000169,PRIVATE ORION I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA,FACFIF,1
04211569000157,CLIMB FIF - CLASSE DE INVESTIMENTO MULT CRED PRIV - RESP LIMITADA,FACFIF,1
04215425000179,ITAÚ INFLATION INDEX RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,1
04220338000100,ITAÚ ESPECIAL RENDA FIXA REFERENCIADO DI FIF CIC RESPONSABILIDADE LIMITADA,FACFIF,0
04222368000155,VERDE PVT MULTIMERCADO FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,1
04222376000100,ITAÚ ESPECIAL RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FACFIF,0
04222383000101,MAXI PREMIUM RENDA FIXA FIF CIC RESPONSABILIDADE LIMITADA,FACFIF,1
04222426000140,LESSA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,1
04222433000142,ITAÚ ESPECIAL RENDA FIXA FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FACFIF,1
04222437000120,ZEUS CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,FACFIF,1
04222716000194,BB AÇÕES MULTIGESTOR PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO,FIC-FITVM,1
04223291000138,ICATU VANGUARDA FUNDO DE INVESTIMENTO EM COTAS FIF RF PLUS PREVIDENCIÁRIO - RESP LIMITADA,FIF,1
04223314000104,ICATU VANGUARDA MULTIESTRATÉGIA MODERADO FC FIF MULT PREVIDENCIÁRIO - RESP LIMITADA,FIF,1
04228545000100,BRADESCO CORPORATE FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA,FIF,0
04228716000100,ICATU VANGUARDA FUNDO DE INVESTIMENTO EM COTAS FIF RF INFLAÇÃO LONGA PREVIDENCIÁRIO - RESP LIMITADA,FIF,1
04237583000120,BRADESCO FIF - CIC RENDA FIXA REFERENCIADA DI PLATINUM - RESPONSABILIDADE LIMITADA,FACFIF,0
04240128000183,TIVIO INSTITUCIONAL 15 FIF - CI RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - RESP LIMITADA,FIF,1
04244137000142,BRADESCO PRIVATE FIF - CLASSE  DE INVESTIMENTO EM COTAS RENDA FIXA REFERENCIADA DI - RESP LIMITADA,FACFIF,0
04244149000177,BRADESCO FIF - CIC DE FUNDOS DE INVESTIMENTO CAMBIAL DÓLAR SPECIAL - RESP LIMITADA,FACFIF,1
04253072000100,BRADESCO NCL FIF- CLASSE DE INVESTIMENTO RENDA FIXA LONGO PRAZO - RESP LIMITADA,FIF,0
04253202000104,BRADESCO PGBLVGBL FIX PLUS FI FINANCEIRO - CIC RF - RESP LIMITADA,FIF,3
04253207000129,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO PGBL - V15 PLUS,FIF,1
04260468000176,BB RENDA FIXA LONGO PRAZO ATIVO MULTIGESTOR PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIM,FACFIF,1
04260579000182,UBS TALASSA FUNDO DE INVESTIMENTO EM COTAS DE FIF - MULTIMERCADO CREDITO PRIVADO RESP LIMITADA,FACFIF,1
04262710000140,FUNDO DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO FITA AZUL,FACFIF,1
04262717000162,PARIS I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,FACFIF,1
04264940000149,ITAÚ FLEXPREV CORPORATE I FIF CIC RF - RESP LIMITADA,FIF,3
04272487000112,BRB FIC DE FUNDOS DE INVESTIMENTO EM RENDA FIXA GOVERNO LONGO PRAZO  RESPONSABILIDADE LIMITADA,FIF,1
04277386000134,CHABLYSS FIF MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,1
04277488000150,VERT FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,FACFIF,1
04277491000173,SAMAMBAIA FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,1
04288780000178,GIVERNY FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,FACFIF,1
04288830000117,BB PREVSAN FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
04288944000167,BB RENDA FIXA REFERENCIADO DI COOPCRED FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,FACFIF,0
04289051000136,FIBONACCI FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,FIF,1
04299355000184,SANTANDER FIF - CIC DE AÇÕES MIRANTE - RESP LIMITADA,FITVM,1
04299586000198,TRISTAR FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,FACFIF,1
04299727000172,SANTANDER FUTURE MULTIMERCADO - FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,FIF,1
04305193000140,BB CAMBIAL EURO LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,FACFIF,1
04310455000164,VERT 14 FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,FACFIF,1
04311271000119,PS VERDE D1 FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,FACFIF,1
04320223000197,CAPEF EXCLUSIVO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA,FIF,3
04320863000105,,,1
04328542000149,CSHG VERDE AM CAMINO FUNDO DE INVESTIMENTO EM COTAS DE FIF - AÇÕES RESPONSABILIDADE LIMITADA,FITVM,1
04331424000190,SAFRA CAPITAL MARKET CORPORATE FIF CIC RF REFERENCIADA DI CRÉDITO PRIVADO RESP LIMITADA,FACFIF,1
04335567000170,CSHG ESMERALDA FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO RESPONSABILIDADE LIMITADA,FACFIF,1
04337571000177,CAIXA FAPECE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA,FIF,1
04342594000170,ITAÚ FLEXPREV CORPORATE PLATINUM RV 49 MULT FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FIF,1
04342618000190,ALLSTON FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,FACFIF,1
04345323000178,SOLO FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO,FACFIF,1
04345331000114,FIGO CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,FACFIF,1
04348384000199,ITAÚ AÇÕES SELEÇÃO MULTIFUNDOS FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA,FIC-FITVM,1
04350787000172,VALUATION IB FUNDO DE INVESTIMENTO FINANCEIRO DA CIC EM AÇÕES RESP LIMITADA,FIC-FITVM,1
04353257000188,,,1
04356413000164,JAGUAR FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA,FACFIF,1
04380741000104,BRADESCO FIF - CLASSE DE INVESTIMENTO MULTI CRED PRIV MAXIMUS - RESP LIMITADA,FIF,1
04385278000185,SANTANDER INFLAÇÃO VIP RENDA FIXA - CIC FIF RESP LIMITADA,FACFIF,1
04406281000138,BRADESCO PGBL FINASA PLUS FI FINANCEIRO - CIC RF - RESP LIMITADA,FIF,1
04412762000156,SANTANDER PB RECIFE MULTIMERCADO CRÉDITO PRIVADO - CIC FIF,FACFIF,1
04418494000180,VIRGÍNIA CLASSE DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO CRÉDITO PRIVADO DE RESP LIMITADA,FACFIF,0
04418568000188,DIAMOND FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FACFIF,1
04426826000178,TÊNIS FIF DA CLASSE DE INVESTIMENTO EM COTAS MULT - RESP LIMITADA,FACFIF,1
04426895000181,SANTANDER PB BF MULTIMERCADO CRÉDITO PRIVADO - FIF,FACFIF,1
04437399000123,,,1
04437609000183,BRADESCO H FIF - CIC RF CRÉDITO PRIV LP PRIVATE PERFORMANCE - RESP LIMITADA,FACFIF,1
04437639000190,FIF - CLASSE DE INVESTIMENTO RF OMICRON - RESP LIMITADA,FIF,3
04443397000147,BRAM FIF - CLASSE DE INVESTIMENTO CAMBIAL DÓLAR - RESPONSABILIDADE LIMITADA,FIF,1
04443410000168,BRADESCO PGBLVGBL - V30 PLUS FI FINANCEIRO - CIC MULT - RESP LIMITADA,FIF,1
04443415000190,BRADESCO PGBL - V40 PLUS FI FINANCEIRO - CIC MULT - RESP LIMITADA,FIF,1
04443440000174,FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CEDRO RESPONSABILIDADE LIMITADA,FIF,1
04443459000110,BRADESCO FIF - CIC DE RENDA FIXA REFERENCIADA DI CRÉDITO PRIVADO GIPFEL - RESPONSABILIDADE LIMITADA,FIF,3
04444179000127,ANTARCTICA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FIF,2
04445295000160,SANTANDER PB GRAN MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO,FACFIF,1
04451467000109,HARMONIA FUNDO DE INVESTIMENTO FINANCEIRO MULT CRED PRIV INVESTIMENTO NO EXTERIOR RESP LIMITADA,FACFIF,1
04455632000109,AZ QUEST MULTI FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FIF,1
04455642000136,TIMBÓ FUNDO DE INVESTIMENTO FINANCEIRO DA CIC MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA,FIF,1
04484351000176,SULAMERICA MIX 40 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA,FIF,1
04495282000104,EQTPREV STRATEGY MAG FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA,FIF,1
04497742000125,BNP PARIBAS ALCOA SOLIDÁRIA CLASSE DE INVESTIMENTO MULTIMERCADO RESPONSABILIDADE LIMITADA,FIF,1
04501865000192,BTG PACTUAL CAPITAL MARKETS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA,FIF,0
04510683000188,ARGOS FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA,FIC-FITVM,1
04511286000120,ICATU SEG DURATION CLASSE DE INVESTIMENTO RENDA FIXA - RESP LIMITADA,FIF,1
04511306000163,IU WESTERN ASSET PERFORMANCE V FIF RENDA FIXA RESP LIMITADA,FIF,1
04514122000157,WESTERN ASSET MULTI RF TOP FIC DE FI FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA,FACFIF,1
04516930000153,,,1
04519681000150,FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO RENDA FIXA JÚPITER - RESP LIMITADA,FIF,3
04519722000108,ÁQUILA 1 FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA,FIF,1
04520220000105,BRADESCO FIF - CIC RENDA FIXA REFERENCIADA DI LONGO PRAZO 30.000 - RESPONSABILIDADE LIMITADA,FACFIF,0
04521982000118,BRADESCO FIF - CIC DE FUNDOS DE INVESTIMENTO CAMBIAL DÓLAR - RESPONSABILIDADE LIMITADA,FACFIF,1
04523214000101,VICTORIA FUNDO DE INVESTIMENTO FINANCEIRO - CLASSE DE  INVESTIMENTO MULTIMERCADO,FACFIF,1
04525916000116,BRADESCO PRIVATE FIF - CLASSE DE INVESTIMENTO EM COTAS RF SIMPLES FEDERAL PLUS - RESP LIMITADA,FACFIF,0
04528776000130,BB RENDA FIXA REFERENCIADO DI LONGO PRAZO CLASSE 200 FIC FIF RESPONSABILIDADE LIMITADA,FACFIF,0
04530186000141,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULT CRED PRIV ANO,FACFIF,1
04539345000179,SANTANDER PB DAVOS MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO,FACFIF,1
04551365000165,AQUILA 2 FI FINANCEIRO - CI MULT - RESP LIMITADA,FIF,1
04553189000109,DAYCOVAL ASTOR FUNDO DE INVESTIMENTO FINANCEIRO,FIF,1
04566470000178,CANCALE FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FITVM,1
04568060000166,ITAÚ UNIBANCO EMPRESAS RENDA FIXA FIF CIC RESP LIMITADA,FACFIF,1
04568129000151,,,1
04570232000136,MB MATIC RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO  FINANCEIRO - RESPONSABILIDADE LIMITADA,FIF,1
04572903000106,SANTANDER PREV FIX EXCLUSIVO RENDA FIXA CRÉDITO  PRIVADO - CIC FIF RESP LIMITADA,FIF,3
04573104000146,SANTANDER BANDEPREV MULTIMERCADO CRÉDITO PRIVADO - FIF RESP LIMITADA,FIF,1
04573108000124,BARRA VELHA II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA,FIF,1
04573842000193,,,1
04573850000130,,,1
04579712000168,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULT CRED PRIV XVII,FACFIF,1
04587998000123,PÉRICLES CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,FIF,1
04588017000162,COMSHELL WA CLASSE DE INVESTIMENTO RENDA  FIXA - RESP LIMITADA,FIF,1
04588071000108,WESTERN ASSET TRADICIONAL FIF RENDA FIXA RESPONSABILIDADE LIMITADA,FIF,1
04588085000121,JJSP FUND III FIF - CLASSE DE INVESTIMENTO MULT - RESP LIMITADA,FIF,1
04589359000105,WESTERN ASSET MULTI RF STAR RENDA FIXA FIC DE FIF RESP LIMITADA,FACFIF,1
04589378000123,WESTERN ASSET TRADICIONAL TOP RENDA FIXA FUNDO DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA,FACFIF,1
04589516000174,WESTERN ASSET DI MAX PREMIUM RENDA FIXA REFERENCIADO FUNDO DE INVESTIMENTO EM COTA DE FIF RESP LIMIT,FACFIF,1
04592305000190,BB AGATA II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,1
04602186000100,CAIXA FUNDO MÚTUO DE PRIVATIZAÇÃO - FGTS CARTEIRA LIVRE - FGTS CL ABSOLUTO - RESP LIMITADA,FMP-FGTS CL,1
04604594000109,Elica - Fundo de Investimento Financeiro em Ações - Responsabilidade Limitada,FMAI,1
04609196000177,BRADESCO FUNDO MÚTUO DE PRIVATIZAÇÃO - FGTS - CI CARTEIRA LIVRE - RESP LIMITADA,FMP-FGTS CL,1
04609212000121,BRADESCO MULTIPORTFÓLIO FUNDO MÚTUO DE PRIVATIZAÇÃO - FGTS - CARTEIRA LIVRE - RESP LIMITADA,FMP-FGTS CL,1
04616035000100,SULAMERICA MIX 49 I FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA,FIF,1
04616277000102,SANTANDER ETHICAL SUSTENTABILIDADE SPECIAL IS AÇÕES - CIC FIF RESP LIMITADA,FITVM,1
04616299000164,SANTANDER IBOVESPA PASSIVO AÇÕES - FIF RESP LIMITADA,FITVM,1
04618337000118,CANARY FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR,FACFIF,1
04618345000164,ALBATROZ FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA,FIF,1
04621018000161,SANTA FÉ  AQUARIUS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,FIF,1
04644580000100,ALPHA CENTAURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,FACFIF,1
04652510000102,ITAQUIRA FUNDO DE INVESTIMENTO EM AÇÕES,FACFIF,1
04657834000125,ALDEIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,1
04657900000167,RT LAUSANNE FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CURTO PRAZO RESPONSABILIDADE LIMITADA,FACFIF,0
04662147000106,COUBE FUNDO DE INVESTIMENTO FINANCEIRO DA CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO RESP LIMITADA,FACFIF,1
04662450000109,BELPART FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,FACFIF,1
04667988000106,MILÊNIO AC FI FINANCEIRO - CI MULT - RESP LIMITADA,FIF,1
04675532000180,BRADESCO PGBL - V2515 FI FINANCEIRO - CIC MULT - RESP LIMITADA,FIF,1
04675570000132,BRADESCO VGBL - V4030 FI FINANCEIRO - CIC MULT - RESP LIMITADA,FIF,1
04679647000142,,,1
04682487000190,VITÓRIA FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,FACFIF,1
04682496000181,MARBELLA CLASSE DE INVESTIMENTO RENDA FIXA - RESP LIMITADA,FIF,1
04682806000168,SUPLEMENTAÇÃO FI FINANCEIRO - CI RF - RESP LIMITADA,FIF,1
